name;battue;latitude;longitude;horizontalAccuracy;verticalAccuracy
H1;Home;49.6362005500273;5.59106713802531;35;16.103874206543
P24;Potalles;49.6292507926644;5.65482133022718;5.31481400690723;2.36162848576391
P23;Potalles;49.6297800083515;5.65606796591875;4.90250524745834;3.12889426657922
P22;Potalles;49.6301983315268;5.65703260589262;4.72656746849586;3.38881941073075
P21;Potalles;49.6302607516289;5.65860011615386;21.8612073469539;12
P20;Potalles;49.6303024935067;5.6598069425725;16.3821091688886;16
P19;Potalles;49.629955776082;5.66051026806762;6.34008729426242;12
P18;Potalles;49.629557307316;5.66117765862185;4.24665098809418;4.05278088644346
P17;Potalles;49.6283412538934;5.66080405377379;5.38376855744729;6
P16;Potalles;49.6272773040239;5.66031479715671;4.696518428386;3.43034279403962
P15;Potalles;49.6260190895289;5.66008505411973;10.4331649452916;16
PD;Potalles;49.6252906602338;5.66010223702123;15.4996013024251;12
P14;Potalles;49.6244909595073;5.65958722671746;4.80887106687136;3.2709778499703
P13;Potalles;49.6237666603333;5.65929634114951;4.76098180438444;3.34029778479541
P12;Potalles;49.6225447487551;5.6588690076076;7.40561471463497;12
P11;Potalles;49.6216715220827;5.65821924247375;4.89779761400237;8
P10;Potalles;49.6210885607171;5.65660153516164;4.36638719606426;6.00110153599285
P9;Potalles;49.6213492379058;5.65567072481444;4.78628034499132;8
O12;;49.6215454582587;5.65502389334669;4.28796841216945;6
P8;Potalles;49.6219169835414;5.65512817645043;4.68369636140693;3.44782908899677
O13;;49.6218057101552;5.65518159038096;4.62699151382997;3.52356163047197
P7;Potalles;49.6222768631298;5.65484359860947;4.30328741470436;6.00128432710539
O14;;49.6223376546681;5.65464796148462;4.59612373607468;3.56373170082707
P6;Potalles;49.6230015205682;5.65399819985559;3.80525663842109;6
O15;;49.6228465086917;5.65409838142904;4.7225262071413;3.3944488883547
P5;Potalles;49.6236201888416;5.65350458957781;4.49063989270551;8.00049098615627
O16;;49.623601304989;5.6534357163042;4.74691268780163;3.36026144327741
P4;Potalles;49.6243544854689;5.65306562930872;4.24659070839503;4.05273614710196
O17;;49.6243526280205;5.65291990155757;4.6580756348549;3.48236534739823
O11;;49.6208410431165;5.65517853946021;5.02551012502579;7.99999999999957
O10;;49.6201378014401;5.6548748631083;5.13689611588205;8
P?;Potalles;49.6249627182726;5.6524069793575;4.5524247492262;8.00035039400663
P3;Potalles;49.6255920613506;5.65188528052696;4.69047655306807;3.4385995314819
O18;;49.6255779671507;5.65187063771992;4.64335976013534;3.50196333086809
O19;;49.6261485061139;5.65155537799527;4.48386988542559;8
P2;Potalles;49.626443554507;5.65126637740032;4.46071032320008;3.73183606891903
P1;Potalles;49.6270418912635;5.65101122484137;3.7746372466942;6
O20;;49.6269900072831;5.65082355402936;4.24662982966526;4.05274976844498
P27;Potalles;49.6279945725029;5.65182722227354;4.27917324102849;6.00135208943294
P26;Potalles;49.6285568783985;5.65284264251087;4.6608370455674;3.47866857683445
P25;Potalles;49.6288403483846;5.65385099307156;4.7161513277071;3.40330041091811
O24;;49.6263917908538;5.64604595304061;4.60444977357091;3.55296767723148
F25;;49.6260351827833;5.64492881298591;4.6653115668736;6.000194852267
O25;;49.6258471566169;5.6449913015397;4.78915913497465;3.29977147885694
OP;;49.6252582641781;5.64401275478829;4.86741265631435;6
F26;;49.6251805986544;5.64380693291455;4.99593015460645;3.44750461873365
O26;;49.6250716910873;5.64367837361792;4.86674283154595;3.18423479730765
F27;;49.624598173351;5.64276234071611;5.43651728173563;3.85089061774282
O27;;49.6245217836828;5.64252100998669;4.86828898925049;3.1818704168981
N7;;49.6242479585546;5.64204274385581;8.09751913291335;2.21463199772673
O1;;49.62411631369;5.64249965362776;11.6457076017013;12
O?;;49.6231422542713;5.6428696453162;5.38059756581971;2.22905609702185
N6;;49.6231942992709;5.64301220754357;6.09821391134576;2.19031714016735
N?;;49.6227146918416;5.6431366782688;11.7215807414146;8
O?;;49.6225840882052;5.64347677431988;5.44560652453197;2.17065859257699
N4;;49.6220979185271;5.64391744967915;4.84040123540281;3.22413599482091
O3;;49.6218099668621;5.64414463727388;5.35940375270591;2.52936695468051
N3;;49.6216276835663;5.64443449213506;5.08845815545496;2.81640384763492
O5;;49.6213049395472;5.6448738277011;5.49957816729412;6
N2;;49.6212903969455;5.64491456375052;4.4093671099817;6.00097125878704
N1;;49.6207113750741;5.64527682960559;4.48250581283645;8
O6;;49.6204343112648;5.64565116540123;12.8770305220851;12
O7;;49.6199539696259;5.64633474168775;4.89584665435438;3.13930287959539
O8;;49.6193533889371;5.64760851694135;4.6968160214446;3.42993531914089
E?;;49.6223815950096;5.63759699464369;5.24402012278042;8
N11;;49.6223233198841;5.63731174438882;5.21455043446748;2.60043653648483
E25;;49.6221107672928;5.63665423724711;4.92532017139203;3.09285600086193
N12;;49.6218819830399;5.63593966769217;4.70018416858452;3.42531835223768
E26;;49.6217429854874;5.63556113633135;4.59553262439373;3.56449392353553
N13;;49.6216629792936;5.63537794605766;4.6253606978389;3.5257021212343
N14;;49.6213810446084;5.63458514732279;4.67903434339532;3.4541532458934
E27;;49.6211684944341;5.63409875592233;4.79044640880364;3.29790239958206
N15;;49.6209194985731;5.63368792447011;4.74985100368171;3.35610674377509
L13;;49.6197039541319;5.63218010590005;4.68455059453925;8
L12;;49.6193371620491;5.63111845404434;5.40296474052273;8
L11;;49.6189599764064;5.63018521294522;5.4731343561034;6
L10;;49.6184928110331;5.62915004790353;3.91525928459774;8
LD;;49.6200384339783;5.63383662142384;5.07306101128494;8
L?;;49.6196304614497;5.63473248292914;4.96941446888981;3.46255501823764
N18;;49.6196748479298;5.63493535551313;4.92101612548728;3.29826071765067
N19;;49.6192196901733;5.63576546297466;4.46678739437236;3.72456002854901
L14;;49.6191454523619;5.63582598959425;5.13551232148584;3.1046608580675
N20;;49.6188769796194;5.63647280653115;5.18158061751486;2.88892000225923
L15;;49.6185060151789;5.63705940450616;4.73612590324612;3.37544789048653
N21;;49.6182918126178;5.63729143907047;5.44863747748369;2.70821726900588
N22;;49.6180351990033;5.63781862446581;5.33110018659508;2.32463068750172
L16;;49.6179057287903;5.63803125894347;4.73586134168908;3.37581906877187
L17;;49.6172965777002;5.63958302458419;5.02306971238627;2.93143440951637
L18;;49.6170315060811;5.640686195527;4.94556750160167;3.060375650127
L19;;49.6163538979737;5.6419043256356;4.67630733499045;3.45784423326202
L20;;49.6152188634619;5.64306774132291;4.73561656348825;3.37616243631798
L21;;49.6133513564124;5.64482956676028;4.74977825023218;3.35620970834812
L22;;49.6126195735711;5.64349631541106;4.82851569420063;3.24190888577194
L23;;49.6118167508859;5.64167252742279;4.24643456469171;4.05263992060564
P forgettes;;49.6206698960306;5.66163887025986;4.8384168342974;3.22711319454034
Coin forgettes 1;;49.6238473384175;5.66176503897241;4.7175018618471;6.00003095502323
P2 forgettes;;49.6305779647547;5.66585423425368;5.38180474240208;8
P3 forgettes;;49.6288297931195;5.6695244181954;7.636232403932;8
P4 gorgettes ;;49.6258246213365;5.67025217439154;4.16928019600428;6.00167343996786
P5 forgettes ;;49.6202362393776;5.67203406123663;4.94070510757095;3.06821936517114
 P6;;49.61880558175;5.66806764342419;5.82501604004983;8
LP;;49.6157691954166;5.62625301071035;5.30452941195439;8
L7;;49.6164956130553;5.62579091638851;5.29971600599959;7.99999999999998
L8;;49.6174970409367;5.62637957744824;5.07349758750802;6
L9;;49.617908718111;5.62753871083784;4.51304798735964;6.00065852771629
L6;;49.6144225588534;5.62704686075973;4.76145499308877;5.99999999999998
L5;;49.6134137129876;5.62772344798374;4.75862979335113;6
LX;;49.6129262214992;5.6281313952111;5.49967888327196;5.99999999999999
L4;;49.6118193492759;5.62885357998836;5.40013441388316;5.99999999999998
L3;;49.610939292202;5.62951863850441;5.02551167932806;2.92724604256734
L2;;49.6099989256352;5.62975471839833;3.8224144754549;6
L1;;49.6092065843284;5.63007909805107;4.91087386906727;8
L27;;49.6099876100659;5.63674405217696;4.78301849951256;6
L26;;49.6105756274264;5.63766010629148;5.47694692386703;2.03658956121602
L26 (white paint);;49.6108274439441;5.63832148687987;8.71713833772479;2.21715932942151
L25;;49.6110643706335;5.63918650292713;5.33573794374072;2.46270239625701
L24;;49.6115432493851;5.64031952061284;5.23807114444856;6
